,0
188,0.89887804
189,0.753631
190,0.024072474
191,0.07946505
192,0.35368273
193,0.28240553
194,0.8069417
195,0.81058085
196,0.8853118
197,0.21660073
198,0.7307636
199,0.58902967
200,0.14008248
201,0.7683689
202,0.65817255
203,0.8663592
204,0.14392272
205,0.3995447
206,0.87168735
207,0.3284223
208,0.20310783
209,0.6576733
210,0.054612994
211,0.42503276
212,0.48186058
213,0.83655953
214,0.88469183
215,0.5495497
216,0.8373811
217,0.8302381
218,0.7462482
219,0.6396046
220,0.5138602
221,0.83823246
222,0.81318355
223,0.50340486
224,0.68932474
225,0.17984535
226,0.28132355
227,0.1536427
228,0.08326248
229,0.90381896
230,0.031206155
231,0.97613513
232,0.3010052
233,0.027864186
234,0.8869225
235,0.9687526
236,0.12042464
237,0.38263908
238,0.91514504
239,0.13092375
240,0.57638794
241,0.49101293
242,0.27948892
243,0.6899735
244,0.67997164
245,0.14457244
246,0.52443856
247,0.7668927
248,0.20032597
249,0.7979892
250,0.09537368
251,0.97799605
252,0.9492407
253,0.5224519
254,0.6288203
255,0.5040425
256,0.8570882
257,0.06020803
258,0.668105
259,0.77142584
260,0.91684127
261,0.98918617
262,0.7962964
263,0.13740946
264,0.9191688
265,0.15535289
266,0.51790994
267,0.029388495
268,0.30367598
269,0.8741378
270,0.639456
271,0.005445741
272,0.48542103
273,0.3095575
274,0.397514
275,0.40079278
276,0.32158402
277,0.9601216
278,0.41246024
279,0.70469254
280,0.19572023
281,0.8223078
282,0.120458536
283,0.18214993
284,0.76618874
285,0.5272558
286,0.45575008
287,0.7943495
288,0.587568
289,0.9686945
290,0.540718
291,0.8667874
292,0.7550464
293,0.50015295
294,0.027988773
295,0.57425183
296,0.5682498
297,0.1333421
298,0.23085728
299,0.94616455
300,0.5399935
301,0.14957252
302,0.17537838
303,0.11035302
304,0.55144596
305,0.34891048
306,0.8815974
307,0.97408533
308,0.37986907
309,0.34248117
310,0.81224215
311,0.06961532
312,0.3250559
313,0.8362161
314,0.6873975
315,0.43104815
316,0.81422526
317,0.8817452
318,0.7193944
319,0.5314749
320,0.9210267
321,0.2427943
322,0.37409934
323,0.93837965
324,0.16634224
325,0.08192604
326,0.8432122
327,0.6403737
328,0.0013784287
329,0.22909507
330,0.61998165
331,0.60647196
332,0.8791855
333,0.44500297
334,0.05648082
335,0.9856394
336,0.05135476
337,0.20669301
338,0.5980906
339,0.90656245
340,0.65624374
341,0.11061887
342,0.7301677
343,0.88452804
344,0.28724
345,0.7624168
346,0.84148824
347,0.31919745
348,0.33539367
349,0.34984943
350,0.51106215
351,0.7139194
352,0.18898648
353,0.46321154
354,0.33475405
355,0.8487374
356,0.7861502
357,0.42647696
358,0.14269425
359,0.8782728
360,0.79065216
361,0.7691699
362,0.67467266
363,0.6000865
364,0.9724409
365,0.8825413
366,0.65633744
367,0.13537252
368,0.31745228
369,0.65478987
370,0.4311449
371,0.7124708
372,0.12220834
373,0.8885204
374,0.9557958
375,0.6285658
376,0.39545247
377,0.1227778
378,0.6933916
379,0.43395728
380,0.01592549
381,0.14109026
382,0.8021079
383,0.26443112
384,0.18138453
385,0.5158367
386,0.6954466
387,0.4755997
388,0.7122535
389,0.23800121
390,0.050731335
391,0.7205581
392,0.5163446
393,0.13411358
394,0.87625945
395,0.29347548
396,0.50549865
397,0.7489302
398,0.44793537
399,0.1293493
400,0.93696445
401,0.6335709
402,0.59444433
403,0.71110755
404,0.50540966
405,0.85726184
406,0.8440107
407,0.13958484
408,0.7991389
409,0.73378456
410,0.517404
411,0.90506613
412,0.7588432
413,0.8056305
414,0.6248638
415,0.16282238
416,0.45607808
417,0.8942605
418,0.6324663
419,0.78532535
420,0.9442212
421,0.047194302
422,0.5058949
423,0.58681595
424,0.01560939
425,0.40373152
426,0.18589374
427,0.45729175
428,0.6195352
429,0.5182929
430,0.13387614
431,0.91399884
432,0.51905924
433,0.36107054
434,0.99873525
435,0.06521332
436,0.5942765
437,0.8927568
438,0.60175306
439,0.901443
440,0.6596151
441,0.34119156
442,0.8062867
443,0.24233422
444,0.82527506
445,0.12374939
446,0.12631844
447,0.44902274
448,0.4626216
449,0.4321522
450,0.6992342
451,0.90352744
452,0.88813865
453,0.340836
454,0.77436775
455,0.5636441
456,0.7855007
457,0.19484133
458,0.6775491
459,0.993389
460,0.69430536
461,0.062062494
462,0.16548996
463,0.030950887
464,0.48279548
465,0.19920182
466,0.31294042
467,0.6738731
468,0.32881418
469,0.43132836
470,0.17172135
471,0.703351
472,0.92995876
473,0.67457944
474,0.5518837
475,0.28958794
476,0.21718289
477,0.8485583
478,0.28085884
479,0.7436521
480,0.40558568
481,0.014769834
482,0.46100363
483,0.027048523
484,0.0039372565
485,0.3257137
486,0.939231
487,0.12404342
488,0.32164833
489,0.8927286
490,0.036118314
491,0.21069598
492,0.15510942
493,0.68180835
494,0.12174569
495,0.08904974
496,0.042136673
497,0.81852466
498,0.4132875
499,0.60944265
